image,hc_negative_div,hc_positive_div,br_positive_div,br_negative_div,h_bias_div,br_bias_div,hc_half_span_div,br_half_span_div,h_extreme_positive_div,b_extreme_positive_div,h_extreme_negative_div,b_extreme_negative_div,grid_origin_x_px,grid_origin_y_px,x_pixels_per_div,y_pixels_per_div
IMG_0001.jpg,-0.873418,-0.734177,nan,nan,-0.803797,nan,0.069620,nan,-0.848101,-0.291139,-0.734177,0.240506,272.00,308.00,79.00,79.00
IMG_0002.jpg,0.034177,0.835443,0.037975,-1.734177,0.434810,-0.848101,0.400633,0.886076,-0.025316,-1.797468,1.164557,2.291139,272.00,308.00,79.00,79.00
IMG_0003.jpg,0.000000,0.848101,0.088608,-1.645570,0.424051,-0.778481,0.424051,0.867089,-0.151899,-1.848101,1.151899,2.000000,272.00,308.00,79.00,79.00
IMG_0004.jpg,-0.443038,1.303797,0.544304,-1.367089,0.430380,-0.411392,0.873418,0.955696,0.683544,-0.746835,0.708861,1.303797,272.00,308.00,79.00,79.00
IMG_0005.jpg,-0.025316,0.924051,0.506329,-2.303797,0.449367,-0.898734,0.474684,1.405063,0.278481,-2.202532,0.645570,2.278481,272.00,308.00,79.00,79.00
IMG_0006.jpg,0.139241,0.887342,-0.075949,-0.316456,0.513291,-0.196203,0.374051,0.120253,1.126582,0.151899,0.037975,-0.050633,272.00,308.00,79.00,79.00
IMG_0007.jpg,0.136709,0.810127,-0.291139,-2.506329,0.473418,-1.398734,0.336709,1.107595,0.189873,-2.506329,1.392405,2.696203,272.00,308.00,79.00,79.00
IMG_0008.jpg,0.358228,0.882278,-1.227848,-2.164557,0.620253,-1.696203,0.262025,0.468354,0.202532,-2.025316,1.151899,2.455696,272.00,308.00,79.00,79.00
IMG_0009.jpg,-0.139241,0.873418,0.860759,-2.670886,0.367089,-0.905063,0.506329,1.765823,0.113924,-2.696203,0.620253,2.873418,272.00,308.00,79.00,79.00
IMG_0010.jpg,0.083544,0.987342,-0.088608,-2.075949,0.535443,-1.082278,0.451899,0.993671,0.443038,-1.873418,0.734177,2.202532,272.00,308.00,79.00,79.00
IMG_0011.jpg,0.343038,0.772152,nan,nan,0.557595,nan,0.214557,nan,0.696203,-0.113924,0.556962,0.354430,272.00,308.00,79.00,79.00
IMG_0012.jpg,0.291139,0.835443,-1.907595,-2.430380,0.563291,-2.168987,0.272152,0.261392,0.493671,-2.417722,0.683544,2.607595,272.00,308.00,79.00,79.00
IMG_0013.jpg,0.100000,0.887342,-0.126582,-1.721519,0.493671,-0.924051,0.393671,0.797468,0.164557,-1.632911,1.063291,2.202532,272.00,308.00,79.00,79.00
IMG_0014.jpg,0.443038,0.658228,-0.251899,-0.317722,0.550633,-0.284810,0.107595,0.032911,0.556962,-0.265823,0.620253,0.544304,272.00,308.00,79.00,79.00
IMG_0015.jpg,0.101266,0.924051,-0.151899,-2.075949,0.512658,-1.113924,0.411392,0.962025,0.215190,-1.962025,0.898734,2.430380,272.00,308.00,79.00,79.00
IMG_0016.jpg,0.202532,1.012658,-0.784810,-2.405063,0.607595,-1.594937,0.405063,0.810127,0.367089,-2.291139,0.898734,2.531646,272.00,308.00,79.00,79.00
IMG_0017.jpg,0.139241,0.797468,-0.354430,-1.924051,0.468354,-1.139241,0.329114,0.784810,0.189873,-1.835443,0.886076,2.189873,272.00,308.00,79.00,79.00
IMG_0018.jpg,0.050633,0.810127,0.025316,-1.607595,0.430380,-0.791139,0.379747,0.816456,0.012658,-1.645570,0.797468,2.354430,272.00,308.00,79.00,79.00
IMG_0019.jpg,-0.037975,0.959494,0.367089,-2.113924,0.460759,-0.873418,0.498734,1.240506,0.367089,-2.037975,0.582278,1.746835,272.00,308.00,79.00,79.00
IMG_0020.jpg,0.227848,0.822785,-0.443038,-1.645570,0.525316,-1.044304,0.297468,0.601266,-0.037975,-1.708861,1.253165,1.810127,272.00,308.00,79.00,79.00
IMG_0021.jpg,-0.341772,1.075949,0.341772,-0.987342,0.367089,-0.322785,0.708861,0.664557,3.164557,1.835443,-1.987342,-1.354430,272.00,308.00,79.00,79.00
IMG_0022.jpg,-0.987342,2.164557,0.493671,-1.177215,0.588608,-0.341772,1.575949,0.835443,3.531646,0.797468,-2.455696,-0.810127,272.00,308.00,79.00,79.00
IMG_0023.jpg,0.531646,0.734177,nan,nan,0.632911,nan,0.101266,nan,0.645570,-0.316456,0.696203,0.632911,272.00,308.00,79.00,79.00
IMG_0024.jpg,0.025316,1.164557,0.101266,-2.113924,0.594937,-1.006329,0.569620,1.107595,0.303797,-1.936709,0.974684,2.113924,272.00,308.00,79.00,79.00
IMG_0025.jpg,0.101266,0.911392,-0.126582,-2.278481,0.506329,-1.202532,0.405063,1.075949,0.189873,-2.265823,1.253165,2.367089,272.00,308.00,79.00,79.00
IMG_0026.jpg,0.139241,1.227848,-0.544304,-2.349367,0.683544,-1.446835,0.544304,0.902532,0.759494,-2.645570,0.582278,2.886076,272.00,308.00,79.00,79.00
IMG_0027.jpg,0.088608,1.240506,-0.139241,-2.367089,0.664557,-1.253165,0.575949,1.113924,0.645570,-2.113924,0.873418,2.620253,272.00,308.00,79.00,79.00
IMG_0028.jpg,0.189873,0.924051,-0.645570,-1.886076,0.556962,-1.265823,0.367089,0.620253,0.481013,-1.696203,0.797468,2.037975,272.00,308.00,79.00,79.00
IMG_0029.jpg,-0.607595,1.353165,1.392405,-2.189873,0.372785,-0.398734,0.980380,1.791139,0.202532,-2.037975,0.645570,2.291139,272.00,308.00,79.00,79.00
IMG_0030.jpg,0.037975,1.000000,0.139241,-2.468354,0.518987,-1.164557,0.481013,1.303797,0.329114,-2.367089,0.810127,2.582278,272.00,308.00,79.00,79.00
IMG_0031.jpg,0.025316,1.101266,0.012658,-1.518987,0.563291,-0.753165,0.537975,0.765823,0.088608,-1.455696,1.189873,1.683544,272.00,308.00,79.00,79.00
