sample_id,DATASET_SPLIT,QUALITY_CLASS,DEFECT_TYPE,CAPTURE_INSTRUCTION,EXPECTED_EFFECT,HMAX,HC,BR,BS,LOOP_HZ,X_GAIN,Y_GAIN,X_OFFSET,Y_OFFSET,XY_COUPLING,ASYMMETRY,AMPLITUDE,hc_negative_div,hc_positive_div,br_positive_div,br_negative_div,h_bias_div,br_bias_div,hc_half_span_div,br_half_span_div,h_extreme_positive_div,b_extreme_positive_div,h_extreme_negative_div,b_extreme_negative_div,grid_origin_x_px,grid_origin_y_px,x_pixels_per_div,y_pixels_per_div,mask,roi_xyxy_source,threshold,predicted_pixels,mean_probability,max_probability
IMG_0001,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,196.977,31.259,0.6228,1.7658,181.778,0.5309,0.7246,0.0146,-0.0153,0.0259,0.0079,545.0,-0.873418,-0.734177,,,-0.803797,,0.06962,,-0.848101,-0.291139,-0.734177,0.240506,272.0,308.0,79.0,79.0,masks_640x600/IMG_0001.png,"2059,404,3800,2054",0.5,741,0.002011,0.997742
IMG_0002,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,270.151,44.836,0.5059,1.3115,206.423,0.9394,1.0967,-0.0243,0.0073,-0.0254,0.025,1463.0,0.034177,0.835443,0.037975,-1.734177,0.43481,-0.848101,0.400633,0.886076,-0.025316,-1.797468,1.164557,2.291139,272.0,308.0,79.0,79.0,masks_640x600/IMG_0002.png,"2059,404,3800,2054",0.5,9190,0.024227,0.999722
IMG_0003,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,185.858,29.226,0.4388,1.2934,236.681,0.9817,1.0212,-0.0486,-0.0271,-0.0017,-0.0034,1557.0,0.0,0.848101,0.088608,-1.64557,0.424051,-0.778481,0.424051,0.867089,-0.151899,-1.848101,1.151899,2.0,272.0,308.0,79.0,79.0,masks_640x600/IMG_0003.png,"2059,404,3800,2054",0.5,9958,0.026183,0.999754
IMG_0004,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,162.746,59.634,0.6164,1.4753,153.861,0.9639,0.9778,-0.0078,0.0125,0.0235,-0.0003,1462.0,-0.443038,1.303797,0.544304,-1.367089,0.43038,-0.411392,0.873418,0.955696,0.683544,-0.746835,0.708861,1.303797,272.0,308.0,79.0,79.0,masks_640x600/IMG_0004.png,"2059,404,3800,2054",0.5,9373,0.024742,0.99976
IMG_0005,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,261.758,47.974,0.7826,0.9648,191.158,0.9293,0.9179,-0.0382,-0.0061,0.0136,-0.0193,1638.0,-0.025316,0.924051,0.506329,-2.303797,0.449367,-0.898734,0.474684,1.405063,0.278481,-2.202532,0.64557,2.278481,272.0,308.0,79.0,79.0,masks_640x600/IMG_0005.png,"2059,404,3800,2054",0.5,10592,0.027821,0.999732
IMG_0006,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,156.613,49.113,0.1434,0.7253,209.586,0.5674,0.508,0.0022,-0.0479,-0.0166,-0.0233,592.0,0.139241,0.887342,-0.075949,-0.316456,0.513291,-0.196203,0.374051,0.120253,1.126582,0.151899,0.037975,-0.050633,272.0,308.0,79.0,79.0,masks_640x600/IMG_0006.png,"2059,404,3800,2054",0.5,2175,0.005667,0.995129
IMG_0007,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,418.103,52.763,0.6311,1.116,234.365,0.9484,0.9574,-0.034,-0.0196,0.1804,-0.174,1629.0,0.136709,0.810127,-0.291139,-2.506329,0.473418,-1.398734,0.336709,1.107595,0.189873,-2.506329,1.392405,2.696203,272.0,308.0,79.0,79.0,masks_640x600/IMG_0007.png,"2059,404,3800,2054",0.5,11262,0.029621,0.999708
IMG_0008,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,373.33,37.791,0.3498,0.8443,182.318,0.9067,1.0078,0.0315,0.0272,0.0267,0.0125,1557.0,0.358228,0.882278,-1.227848,-2.164557,0.620253,-1.696203,0.262025,0.468354,0.202532,-2.025316,1.151899,2.455696,272.0,308.0,79.0,79.0,masks_640x600/IMG_0008.png,"2059,404,3800,2054",0.5,9293,0.02446,0.999705
IMG_0009,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,114.431,11.487,0.5505,1.157,155.015,1.6901,1.5199,-0.0552,0.0402,0.013,-0.0065,1746.0,-0.139241,0.873418,0.860759,-2.670886,0.367089,-0.905063,0.506329,1.765823,0.113924,-2.696203,0.620253,2.873418,272.0,308.0,79.0,79.0,masks_640x600/IMG_0009.png,"2059,404,3800,2054",0.5,11426,0.030085,0.999642
IMG_0010,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,269.355,48.98,0.9108,1.1788,208.734,1.0405,1.0201,0.0007,0.0421,0.0003,-0.0233,1390.0,0.083544,0.987342,-0.088608,-2.075949,0.535443,-1.082278,0.451899,0.993671,0.443038,-1.873418,0.734177,2.202532,272.0,308.0,79.0,79.0,masks_640x600/IMG_0010.png,"2059,404,3800,2054",0.5,9540,0.025123,0.999718
