sample_id,shot,status,image,captured_at,device_serial,phone_name,error,DATASET_SPLIT,QUALITY_CLASS,DEFECT_TYPE,CAPTURE_INSTRUCTION,EXPECTED_EFFECT,HMAX,HC,BR,BS,LOOP_HZ,X_GAIN,Y_GAIN,X_OFFSET,Y_OFFSET,XY_COUPLING,ASYMMETRY,AMPLITUDE
IMG_0001,1,ok,images/IMG_0001.jpg,2026-08-13T20:32:19+08:00,SSGA9X75RSPRSOEE,IMG_20260813_203215.jpg,,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,196.977,31.259,0.6228,1.7658,181.778,0.5309,0.7246,0.0146,-0.0153,0.0259,0.0079,545.0
IMG_0002,1,ok,images/IMG_0002.jpg,2026-08-13T20:32:27+08:00,SSGA9X75RSPRSOEE,IMG_20260813_203223.jpg,,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,270.151,44.836,0.5059,1.3115,206.423,0.9394,1.0967,-0.0243,0.0073,-0.0254,0.025,1463.0
IMG_0003,1,ok,images/IMG_0003.jpg,2026-08-13T20:32:35+08:00,SSGA9X75RSPRSOEE,IMG_20260813_203232.jpg,,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,185.858,29.226,0.4388,1.2934,236.681,0.9817,1.0212,-0.0486,-0.0271,-0.0017,-0.0034,1557.0
IMG_0004,1,ok,images/IMG_0004.jpg,2026-08-13T20:32:44+08:00,SSGA9X75RSPRSOEE,IMG_20260813_203240.jpg,,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,162.746,59.634,0.6164,1.4753,153.861,0.9639,0.9778,-0.0078,0.0125,0.0235,-0.0003,1462.0
IMG_0005,1,ok,images/IMG_0005.jpg,2026-08-13T20:32:52+08:00,SSGA9X75RSPRSOEE,IMG_20260813_203249.jpg,,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,261.758,47.974,0.7826,0.9648,191.158,0.9293,0.9179,-0.0382,-0.0061,0.0136,-0.0193,1638.0
IMG_0006,1,ok,images/IMG_0006.jpg,2026-08-13T20:33:00+08:00,SSGA9X75RSPRSOEE,IMG_20260813_203257.jpg,,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,156.613,49.113,0.1434,0.7253,209.586,0.5674,0.508,0.0022,-0.0479,-0.0166,-0.0233,592.0
IMG_0007,1,ok,images/IMG_0007.jpg,2026-08-13T20:33:09+08:00,SSGA9X75RSPRSOEE,IMG_20260813_203305.jpg,,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,418.103,52.763,0.6311,1.116,234.365,0.9484,0.9574,-0.034,-0.0196,0.1804,-0.174,1629.0
IMG_0008,1,ok,images/IMG_0008.jpg,2026-08-13T20:33:17+08:00,SSGA9X75RSPRSOEE,IMG_20260813_203314.jpg,,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,373.33,37.791,0.3498,0.8443,182.318,0.9067,1.0078,0.0315,0.0272,0.0267,0.0125,1557.0
IMG_0009,1,ok,images/IMG_0009.jpg,2026-08-13T20:33:25+08:00,SSGA9X75RSPRSOEE,IMG_20260813_203322.jpg,,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,114.431,11.487,0.5505,1.157,155.015,1.6901,1.5199,-0.0552,0.0402,0.013,-0.0065,1746.0
IMG_0010,1,ok,images/IMG_0010.jpg,2026-08-13T20:33:34+08:00,SSGA9X75RSPRSOEE,IMG_20260813_203330.jpg,,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,269.355,48.98,0.9108,1.1788,208.734,1.0405,1.0201,0.0007,0.0421,0.0003,-0.0233,1390.0
