id,condition,dice,iou,truth_pixels,predicted_pixels,mean_probability
IMG_0010,defocus_motion,0.92430400,0.85926928,8024,8462,0.02231194
IMG_0013,NORMAL,0.92565354,0.86160548,7405,7551,0.01990968
IMG_0014,small_dim_loop,0.81412530,0.68659691,1623,1760,0.00453969
IMG_0015,NORMAL,0.92406877,0.85886303,7785,8268,0.02173174
IMG_0019,tilt_asymmetry,0.91880510,0.84981305,8403,9405,0.02483155
IMG_0023,small_dim_loop,0.91144019,0.83733333,1618,1825,0.00472504
IMG_0024,NORMAL,0.88955055,0.80108377,7613,8339,0.02196147
IMG_0028,underexposed,0.91871970,0.84966839,7399,7659,0.02018716
IMG_0032,small_dim_loop,0.86161945,0.75693527,1828,2160,0.00567301
IMG_0036,scale_clipping,0.84855497,0.73695912,10170,10140,0.02683109
IMG_0041,partial_frame,0.85072588,0.74024173,8744,8820,0.02326332
IMG_0048,NORMAL,0.90567428,0.82761998,7177,7749,0.02038941
IMG_0055,partial_frame,0.90889396,0.83301138,8248,8830,0.02323114
IMG_0072,NORMAL,0.94851674,0.90208051,8181,8639,0.02282075
IMG_0076,scale_clipping,0.90276104,0.82276547,9216,9870,0.02609318
IMG_0088,overexposed,0.91559873,0.84434562,7108,7405,0.01952759
IMG_0094,underexposed,0.92561554,0.86153846,8576,8725,0.02296313
IMG_0095,offset_outside,0.90014753,0.81843678,7188,7723,0.02025795
IMG_0096,tilt_asymmetry,0.89504763,0.81004235,8682,9268,0.02444380
IMG_0097,defocus_motion,0.89875470,0.81613810,6649,6921,0.01823468
IMG_0101,NORMAL,0.88287427,0.79032074,7589,8094,0.02137708
IMG_0106,small_dim_loop,0.84607646,0.73329460,1429,1552,0.00411385
IMG_0109,tilt_asymmetry,0.90867807,0.83264934,7818,8256,0.02174915
IMG_0114,scale_clipping,0.86754932,0.76609222,9235,9722,0.02571972
IMG_0126,underexposed,0.90430758,0.82534113,6809,7235,0.01916452
IMG_0132,overexposed,0.87715771,0.78120756,7010,7414,0.01964107
