x_px,y_px,H_star,B_star,U_H_V,U_B_V
166.0,3.0,0.6435643564356436,0.97,0.5148514851485149,0.0776
171.0,3.0,0.693069306930693,0.97,0.5544554455445544,0.0776
167.0,4.0,0.6534653465346535,0.96,0.5227722772277228,0.0768
170.0,4.0,0.6831683168316832,0.96,0.5465346534653466,0.0768
156.0,5.0,0.5445544554455446,0.95,0.4356435643564357,0.076
166.0,5.0,0.6435643564356436,0.95,0.5148514851485149,0.076
167.0,5.0,0.6534653465346535,0.95,0.5227722772277228,0.076
169.0,5.0,0.6732673267326733,0.95,0.5386138613861386,0.076
157.0,6.0,0.5544554455445545,0.94,0.4435643564356436,0.0752
162.0,6.0,0.6039603960396039,0.94,0.48316831683168315,0.0752
163.0,6.0,0.6138613861386139,0.94,0.4910891089108911,0.0752
164.0,6.0,0.6237623762376238,0.94,0.499009900990099,0.0752
170.0,6.0,0.6831683168316832,0.94,0.5465346534653466,0.0752
158.0,7.0,0.5643564356435643,0.93,0.45148514851485144,0.07440000000000001
159.0,7.0,0.5742574257425742,0.93,0.45940594059405937,0.07440000000000001
160.0,7.0,0.5841584158415841,0.93,0.4673267326732673,0.07440000000000001
170.0,7.0,0.6831683168316832,0.93,0.5465346534653466,0.07440000000000001
157.0,8.0,0.5544554455445545,0.92,0.4435643564356436,0.0736
159.0,8.0,0.5742574257425742,0.92,0.45940594059405937,0.0736
169.0,8.0,0.6732673267326733,0.92,0.5386138613861386,0.0736
170.0,8.0,0.6831683168316832,0.92,0.5465346534653466,0.0736
147.0,9.0,0.45544554455445546,0.91,0.3643564356435644,0.0728
148.0,9.0,0.46534653465346537,0.91,0.37227722772277233,0.0728
149.0,9.0,0.4752475247524752,0.91,0.3801980198019802,0.0728
150.0,9.0,0.48514851485148514,0.91,0.38811881188118813,0.0728
151.0,9.0,0.49504950495049505,0.91,0.39603960396039606,0.0728
152.0,9.0,0.504950495049505,0.91,0.403960396039604,0.0728
153.0,9.0,0.5148514851485149,0.91,0.4118811881188119,0.0728
154.0,9.0,0.5247524752475248,0.91,0.41980198019801984,0.0728
155.0,9.0,0.5346534653465347,0.91,0.42772277227722777,0.0728
156.0,9.0,0.5445544554455446,0.91,0.4356435643564357,0.0728
169.0,9.0,0.6732673267326733,0.91,0.5386138613861386,0.0728
170.0,9.0,0.6831683168316832,0.91,0.5465346534653466,0.0728
144.0,10.0,0.42574257425742573,0.9,0.3405940594059406,0.07200000000000001
145.0,10.0,0.43564356435643564,0.9,0.34851485148514855,0.07200000000000001
146.0,10.0,0.44554455445544555,0.9,0.3564356435643565,0.07200000000000001
169.0,10.0,0.6732673267326733,0.9,0.5386138613861386,0.07200000000000001
143.0,11.0,0.4158415841584158,0.89,0.3326732673267327,0.0712
144.0,11.0,0.42574257425742573,0.89,0.3405940594059406,0.0712
168.0,11.0,0.6633663366336634,0.89,0.5306930693069307,0.0712
170.0,11.0,0.6831683168316832,0.89,0.5465346534653466,0.0712
141.0,12.0,0.39603960396039606,0.88,0.3168316831683169,0.0704
142.0,12.0,0.40594059405940597,0.88,0.3247524752475248,0.0704
167.0,12.0,0.6534653465346535,0.88,0.5227722772277228,0.0704
135.0,13.0,0.33663366336633666,0.87,0.2693069306930693,0.0696
136.0,13.0,0.3465346534653465,0.87,0.2772277227722772,0.0696
137.0,13.0,0.3564356435643564,0.87,0.2851485148514851,0.0696
138.0,13.0,0.36633663366336633,0.87,0.29306930693069305,0.0696
139.0,13.0,0.37623762376237624,0.87,0.30099009900990104,0.0696
140.0,13.0,0.38613861386138615,0.87,0.30891089108910896,0.0696
168.0,13.0,0.6633663366336634,0.87,0.5306930693069307,0.0696
133.0,14.0,0.31683168316831684,0.86,0.25346534653465347,0.0688
134.0,14.0,0.32673267326732675,0.86,0.2613861386138614,0.0688
136.0,14.0,0.3465346534653465,0.86,0.2772277227722772,0.0688
137.0,14.0,0.3564356435643564,0.86,0.2851485148514851,0.0688
138.0,14.0,0.36633663366336633,0.86,0.29306930693069305,0.0688
139.0,14.0,0.37623762376237624,0.86,0.30099009900990104,0.0688
167.0,14.0,0.6534653465346535,0.86,0.5227722772277228,0.0688
131.0,15.0,0.297029702970297,0.85,0.2376237623762376,0.068
132.0,15.0,0.3069306930693069,0.85,0.24554455445544554,0.068
167.0,15.0,0.6534653465346535,0.85,0.5227722772277228,0.068
129.0,16.0,0.27722772277227725,0.84,0.2217821782178218,0.0672
130.0,16.0,0.2871287128712871,0.84,0.22970297029702968,0.0672
168.0,16.0,0.6633663366336634,0.84,0.5306930693069307,0.0672
123.0,17.0,0.21782178217821782,0.83,0.17425742574257427,0.0664
126.0,17.0,0.24752475247524752,0.83,0.19801980198019803,0.0664
127.0,17.0,0.25742574257425743,0.83,0.20594059405940596,0.0664
128.0,17.0,0.26732673267326734,0.83,0.21386138613861388,0.0664
167.0,17.0,0.6534653465346535,0.83,0.5227722772277228,0.0664
124.0,18.0,0.22772277227722773,0.82,0.1821782178217822,0.06559999999999999
125.0,18.0,0.2376237623762376,0.82,0.1900990099009901,0.06559999999999999
126.0,18.0,0.24752475247524752,0.82,0.19801980198019803,0.06559999999999999
166.0,18.0,0.6435643564356436,0.82,0.5148514851485149,0.06559999999999999
124.0,19.0,0.22772277227722773,0.81,0.1821782178217822,0.06480000000000001
125.0,19.0,0.2376237623762376,0.81,0.1900990099009901,0.06480000000000001
165.0,19.0,0.6336633663366337,0.81,0.5069306930693069,0.06480000000000001
120.0,20.0,0.18811881188118812,0.8,0.15049504950495052,0.064
121.0,20.0,0.19801980198019803,0.8,0.15841584158415845,0.064
123.0,20.0,0.21782178217821782,0.8,0.17425742574257427,0.064
124.0,20.0,0.22772277227722773,0.8,0.1821782178217822,0.064
165.0,20.0,0.6336633663366337,0.8,0.5069306930693069,0.064
166.0,20.0,0.6435643564356436,0.8,0.5148514851485149,0.064
118.0,21.0,0.16831683168316833,0.79,0.13465346534653466,0.0632
119.0,21.0,0.1782178217821782,0.79,0.14257425742574256,0.0632
121.0,21.0,0.19801980198019803,0.79,0.15841584158415845,0.0632
122.0,21.0,0.2079207920792079,0.79,0.16633663366336635,0.0632
166.0,21.0,0.6435643564356436,0.79,0.5148514851485149,0.0632
117.0,22.0,0.15841584158415842,0.78,0.12673267326732673,0.062400000000000004
118.0,22.0,0.16831683168316833,0.78,0.13465346534653466,0.062400000000000004
165.0,22.0,0.6336633663366337,0.78,0.5069306930693069,0.062400000000000004
116.0,23.0,0.1485148514851485,0.77,0.1188118811881188,0.0616
117.0,23.0,0.15841584158415842,0.77,0.12673267326732673,0.0616
164.0,23.0,0.6237623762376238,0.77,0.499009900990099,0.0616
114.0,24.0,0.12871287128712872,0.76,0.10297029702970298,0.0608
