id,image,mask,source_json,condition,split
IMG_0001,images/IMG_0001.jpg,masks/IMG_0001.png,IMG_0001.json,small_dim_loop,train
IMG_0002,images/IMG_0002.jpg,masks/IMG_0002.png,IMG_0002.json,NORMAL,train
IMG_0003,images/IMG_0003.jpg,masks/IMG_0003.png,IMG_0003.json,underexposed,train
IMG_0004,images/IMG_0004.jpg,masks/IMG_0004.png,IMG_0004.json,defocus_motion,train
IMG_0005,images/IMG_0005.jpg,masks/IMG_0005.png,IMG_0005.json,defocus_motion,train
IMG_0006,images/IMG_0006.jpg,masks/IMG_0006.png,IMG_0006.json,small_dim_loop,train
IMG_0007,images/IMG_0007.jpg,masks/IMG_0007.png,IMG_0007.json,tilt_asymmetry,train
IMG_0008,images/IMG_0008.jpg,masks/IMG_0008.png,IMG_0008.json,overexposed,train
IMG_0009,images/IMG_0009.jpg,masks/IMG_0009.png,IMG_0009.json,scale_clipping,train
IMG_0010,images/IMG_0010.jpg,masks/IMG_0010.png,IMG_0010.json,defocus_motion,valid
IMG_0011,images/IMG_0011.jpg,masks/IMG_0011.png,IMG_0011.json,small_dim_loop,train
IMG_0012,images/IMG_0012.jpg,masks/IMG_0012.png,IMG_0012.json,NORMAL,train
IMG_0013,images/IMG_0013.jpg,masks/IMG_0013.png,IMG_0013.json,NORMAL,valid
IMG_0014,images/IMG_0014.jpg,masks/IMG_0014.png,IMG_0014.json,small_dim_loop,valid
IMG_0015,images/IMG_0015.jpg,masks/IMG_0015.png,IMG_0015.json,NORMAL,valid
IMG_0016,images/IMG_0016.jpg,masks/IMG_0016.png,IMG_0016.json,NORMAL,train
IMG_0017,images/IMG_0017.jpg,masks/IMG_0017.png,IMG_0017.json,underexposed,train
IMG_0018,images/IMG_0018.jpg,masks/IMG_0018.png,IMG_0018.json,tilt_asymmetry,train
IMG_0019,images/IMG_0019.jpg,masks/IMG_0019.png,IMG_0019.json,tilt_asymmetry,valid
IMG_0020,images/IMG_0020.jpg,masks/IMG_0020.png,IMG_0020.json,NORMAL,train
IMG_0021,images/IMG_0021.jpg,masks/IMG_0021.png,IMG_0021.json,NORMAL,train
IMG_0022,images/IMG_0022.jpg,masks/IMG_0022.png,IMG_0022.json,scale_clipping,train
IMG_0023,images/IMG_0023.jpg,masks/IMG_0023.png,IMG_0023.json,small_dim_loop,valid
IMG_0024,images/IMG_0024.jpg,masks/IMG_0024.png,IMG_0024.json,NORMAL,valid
IMG_0025,images/IMG_0025.jpg,masks/IMG_0025.png,IMG_0025.json,tilt_asymmetry,train
IMG_0026,images/IMG_0026.jpg,masks/IMG_0026.png,IMG_0026.json,scale_clipping,train
IMG_0027,images/IMG_0027.jpg,masks/IMG_0027.png,IMG_0027.json,defocus_motion,train
IMG_0028,images/IMG_0028.jpg,masks/IMG_0028.png,IMG_0028.json,underexposed,valid
IMG_0029,images/IMG_0029.jpg,masks/IMG_0029.png,IMG_0029.json,defocus_motion,train
IMG_0030,images/IMG_0030.jpg,masks/IMG_0030.png,IMG_0030.json,partial_frame,train
IMG_0031,images/IMG_0031.jpg,masks/IMG_0031.png,IMG_0031.json,overexposed,train
